Beaker ,Sample_num,Predation,Adult_F,Ephi_F,Juv_F,Ad_M,Juv_M,Inf_Ad_F,Inf_Ephi_F,Inf_Juv_F,Inf_Ad_M,Inf_Juv_M,Total_num,Infected_num,Prop_inf,Prop_juv
1,1,Random,17,0,29,0,0,0,0,0,0,0,46,0,0,0.630434783
1,2,Random,10,0,103,0,0,12,0,3,0,0,128,15,0.1171875,0.828125
1,3,Random,54,0,29,0,0,2,0,0,0,0,85,2,0.023529412,0.341176471
1,4,Random,20,0,37,0,0,28,0,5,1,0,91,34,0.373626374,0.461538462
1,5,Random,15,0,36,0,0,8,0,0,0,0,59,8,0.13559322,0.610169492
1,6,Random,4,0,21,0,0,8,0,9,0,0,42,17,0.404761905,0.714285714
1,7,Random,1,0,24,0,0,15,0,3,0,0,43,18,0.418604651,0.627906977
1,8,Random,2,0,6,0,0,23,0,0,0,0,31,23,0.741935484,0.193548387
1,9,Random,13,0,39,0,0,3,0,1,0,0,56,4,0.071428571,0.714285714
1,10,Random,8,0,23,0,0,22,0,2,0,0,55,24,0.436363636,0.454545455
2,1,Uninfected,13,0,21,0,0,0,0,0,0,0,34,0,0,0.617647059
2,2,Uninfected,17,0,65,0,0,5,0,3,0,0,90,8,0.088888889,0.755555556
2,3,Uninfected,36,0,69,1,0,6,0,5,0,0,117,11,0.094017094,0.632478632
2,4,Uninfected,15,0,26,0,0,11,0,10,0,0,62,21,0.338709677,0.580645161
2,5,Uninfected,1,0,8,0,0,14,0,4,0,0,27,18,0.666666667,0.444444444
2,6,Uninfected,6,0,2,0,0,6,0,2,0,0,16,8,0.5,0.25
2,7,Uninfected,17,0,40,0,0,6,0,0,0,0,63,6,0.095238095,0.634920635
2,8,Uninfected,10,0,20,0,0,14,0,1,0,0,45,15,0.333333333,0.466666667
2,9,Uninfected,6,0,54,0,0,6,0,1,0,0,67,7,0.104477612,0.820895522
2,10,Uninfected,3,0,9,0,0,19,0,5,0,0,36,24,0.666666667,0.388888889
3,1,Uninfected,4,0,13,0,0,0,0,0,0,0,17,0,0,0.764705882
3,2,Uninfected,12,0,51,0,0,7,0,1,0,0,71,8,0.112676056,0.732394366
3,3,Uninfected,61,0,68,1,0,7,0,0,0,0,137,7,0.051094891,0.496350365
3,4,Uninfected,7,0,39,0,0,14,0,3,0,0,63,17,0.26984127,0.666666667
3,5,Uninfected,2,0,6,0,0,0,0,6,0,0,14,6,0.428571429,0.857142857
3,6,Uninfected,3,0,16,0,0,5,0,1,0,0,25,6,0.24,0.68
3,7,Uninfected,3,0,15,0,0,10,0,2,0,0,30,12,0.4,0.566666667
3,8,Uninfected,11,0,9,0,0,9,0,0,0,0,29,9,0.310344828,0.310344828
3,9,Uninfected,8,0,27,0,0,8,0,0,0,0,43,8,0.186046512,0.627906977
3,10,Uninfected,11,0,38,0,0,23,0,2,0,0,74,25,0.337837838,0.540540541
4,1,Random,10,0,14,0,0,0,0,0,0,0,24,0,0,0.583333333
4,2,Random,16,0,51,0,0,7,0,3,0,0,77,10,0.12987013,0.701298701
